work_year,experience_level,employment_type,job_title,salary_in_usd,company_size
2024,MI,FT,AI Architect,800000,M
2024,EN,FT,Data Analyst,774000,M
2024,SE,FT,Analytics Engineer,750000,M
2024,MI,FT,Machine Learning Scientist,750000,M
2024,SE,FT,Data Analyst,750000,M
2024,MI,FT,Machine Learning Scientist,750000,M
2023,MI,FT,Machine Learning Scientist,750000,M
2023,MI,FT,Machine Learning Engineer,750000,M
2023,MI,FT,Data Engineer,750000,M
2023,SE,FT,Data Scientist,750000,M
2024,SE,FT,Analytics Engineer,720000,M
2024,MI,FT,Machine Learning Scientist,720000,M
2024,SE,FT,Data Scientist,720000,M
2024,MI,FT,Analytics Engineer,720000,M
2024,SE,FT,Analytics Engineer,720000,M
2024,SE,FT,Data Scientist,720000,M
2024,MI,FT,Research Engineer,720000,M
2024,MI,FT,Research Scientist,720000,M
2024,MI,FT,Research Engineer,720000,M
2023,SE,FT,Analytics Engineer,700000,M
2023,MI,FT,Analytics Engineer,700000,M
2024,SE,FT,Research Scientist,600000,M
2024,SE,FT,Prompt Engineer,600000,M
2024,SE,FT,Research Engineer,600000,M
2024,SE,FT,Machine Learning Engineer,550000,M
2024,SE,FT,Machine Learning Engineer,550000,M
2024,MI,FT,ML Engineer,530000,M
2024,SE,FT,Analytics Engineer,500000,M
2024,SE,FT,Research Scientist,500000,M
2024,SE,FT,Research Scientist,500000,M
2024,SE,FT,Research Engineer,485000,M
2024,SE,FT,Research Scientist,484000,M
2023,EX,FT,Data Engineer,465000,M
2024,SE,FT,Research Engineer,450000,M
2020,MI,FT,Research Scientist,450000,M
2024,SE,FT,AI Architect,449000,M
2024,EX,FT,Head of Machine Learning,448000,M
2024,MI,FT,Research Engineer,440000,M
2024,MI,FT,Research Engineer,440000,M
2024,MI,FT,ML Engineer,440000,M
2024,MI,FT,Research Engineer,440000,M
2024,SE,FT,Research Scientist,440000,M
2024,MI,FT,Research Engineer,440000,M
2024,MI,FT,Research Scientist,440000,M
2024,SE,FT,Research Engineer,440000,M
2024,MI,FT,Research Engineer,440000,M
2024,MI,FT,Research Engineer,440000,M
2024,SE,FT,Research Scientist,440000,M
2024,SE,FT,Research Scientist,440000,M
2024,SE,FT,Research Scientist,440000,M
2024,SE,FT,Research Engineer,440000,M
2024,EX,FT,Head of Machine Learning,438000,M
2022,MI,FT,Data Analyst,430967,M
2023,MI,FT,Analytics Engineer,430640,M
2021,MI,FT,Applied Machine Learning Scientist,423000,L
2024,SE,FT,Machine Learning Engineer,418000,M
2024,SE,FT,Machine Learning Engineer,418000,M
2023,SE,FT,AI Scientist,417937,L
2021,EX,CT,Principal Data Scientist,416000,S
2024,SE,FT,Machine Learning Engineer,414000,M
2024,SE,FT,Applied Scientist,414000,M
2020,SE,FT,Data Scientist,412000,L
2024,EX,FT,Machine Learning Engineer,408500,M
2024,EX,FT,Machine Learning Engineer,408500,M
2023,MI,FT,Research Scientist,405000,L
2022,SE,FT,Data Analytics Lead,405000,L
2024,SE,FT,Data Architect,400000,M
2024,MI,FT,AI Engineer,400000,M
2023,SE,FT,Analytics Engineering Manager,399880,L
2024,SE,FT,Data Analytics Lead,398900,M
2024,SE,FT,Data Analytics Lead,398900,M
2023,SE,FT,Machine Learning Engineer,392000,M
2024,SE,FT,Machine Learning Engineer,386100,M
2024,SE,FT,Data Scientist,385000,M
2024,MI,FT,Data Infrastructure Engineer,385000,M
2024,SE,FT,AI Engineer,385000,M
2024,SE,FT,Data Engineer,385000,M
2024,MI,FT,Data Scientist,385000,M
2023,EX,FT,Data Engineer,385000,M
2023,SE,FT,Data Engineer,385000,M
2023,SE,FT,Research Engineer,385000,M
2023,SE,FT,Data Engineer,385000,M
2023,SE,FT,Data Infrastructure Engineer,385000,M
2023,SE,FT,ML Engineer,385000,M
2023,SE,FT,Data Analyst,385000,M
2023,SE,FT,ML Engineer,383910,M
2024,SE,FT,Research Scientist,382320,M
2024,EX,FT,Data Science,381500,M
2024,SE,FT,Data Architect,381500,M
2022,SE,FT,Applied Data Scientist,380000,L
2023,SE,FT,Data Architect,376080,M
2023,EX,FT,Director of Data Science,375500,M
